id,approved,title
NULL,1,Asbury College
NULL,1,Ashland University
NULL,1,Asian Institute of Technology
NULL,1,Asia University Taiwan
NULL,1,Assiut University
NULL,1,Assumption College
NULL,1,Aston University
NULL,1,Ataturk University
NULL,1,Athabasca University
NULL,1,Athenaeum of Ohio
NULL,1,Athens State College
NULL,1,Athens University of Economics & Business
NULL,1,Atilim University
NULL,1,Atlanta Christian College
NULL,1,Atlanta College of Art
NULL,1,Atlantic International University
NULL,1,Atlantic Union College
NULL,1,Atlantic University
NULL,1,Auburn University
NULL,1,Auburn University at Montgomery
NULL,1,Auckland University of Technology
NULL,1,Audrey Cohen College
NULL,1,Augsburg College
NULL,1,Augustana College
NULL,1,Augusta State University
NULL,1,Aurora University
NULL,1,Austin College
NULL,1,Austin Community College
NULL,1,Austin Peay State University
NULL,1,Australian Catholic University
NULL,1,Australian National University
NULL,1,Autonomous University of Baja California
NULL,1,Autonomous University of Barcelona
NULL,1,Autonomous University of Madrid
NULL,1,Autonomous University of Nuevo Leon
NULL,1,Autonomous University of Queretaro
NULL,1,Autonomous University of San Luis Potosi
NULL,1,Autonomous University of Sinaloa
NULL,1,Autonomous University of the State of Hidalgo
NULL,1,Autonomous University of the State of Mexico
NULL,1,Autonomous University of the State of Morelos
NULL,1,Autonomous University of Yucatan
NULL,1,Ave Maria University
NULL,1,Averett College
NULL,1,Avila College
NULL,1,Azabu University
NULL,1,Azusa Pacific University
NULL,1,Babson College
NULL,1,Bahauddin Zakariya University
NULL,1,Bahcesehir University
NULL,1,Baker College of Auburn Hills
NULL,1,Baker College of Cadillac
NULL,1,Baker College of Flint
NULL,1,Baker College of Mount Clemens
NULL,1,Baker College of Muskegon
NULL,1,Baker College of Owosso
NULL,1,Baker College of Port Huron
NULL,1,Baker University
NULL,1,Baku State University
NULL,1,Baldwin-Wallace College
NULL,1,Balikesir University
NULL,1,Ball State University
NULL,1,Baltimore Hebrew University
NULL,1,Baltimore International College
NULL,1,Banaras Hindu University
NULL,1,Bangalore University
NULL,1,Bangor University
NULL,1,Bank Street College of Education
NULL,1,Baptist Bible College of Missouri
NULL,1,Baptist Bible College of Pennsylvania
NULL,1,Barat College
NULL,1,Barber-Scotia College
NULL,1,Barclay College
NULL,1,Bard College
NULL,1,Bard Graduate Center for Studies in the Decorative Arts
NULL,1,Bar Ilan University
NULL,1,Barnard College - Columbia University
NULL,1,Barry University
NULL,1,Bartlesville Wesleyan College
NULL,1,Barton College
NULL,1,Baruch College (CUNY)
NULL,1,Baskent University
NULL,1,Bastyr University
NULL,1,Bates College
NULL,1,Bauder College
NULL,1,Baylor College of Dentistry
NULL,1,Baylor College of Medicine
NULL,1,Baylor University
NULL,1,Beihang University
NULL,1,Beijing Forestry University
NULL,1,Beijing Institute of Technology
NULL,1,Beijing Jiaotong University
NULL,1,Beijing Normal University
NULL,1,Beijing University of Chemical Technology
NULL,1,Beijing University of Chinese Medicine
NULL,1,Beijing University of Technology
NULL,1,Beijing University Posts & Telecommunications
NULL,1,Belarusian State University
NULL,1,Belhaven College
NULL,1,Bellarmine College
NULL,1,Bellevue University
NULL,1,Bellin College of Nursing
NULL,1,Belmont Abbey College
NULL,1,Belmont University
NULL,1,Beloit College
NULL,1,Bemidji State Univeristy
NULL,1,Benedict College
NULL,1,Benedictine College
NULL,1,Benedictine University
NULL,1,Benedictine University Springfield College in Illinois
NULL,1,Benemerita Universidad Autonoma de Puebla
NULL,1,Bengal Engineering Science University
NULL,1,Ben Gurion University
NULL,1,Bennett College
NULL,1,Bennington College
NULL,1,Bentley College
NULL,1,Berea College
NULL,1,Berean University of the Assemblies of God
NULL,1,Berklee College of Music
NULL,1,Berne University
NULL,1,Berry College
NULL,1,Bethany College California
NULL,1,Bethany College Kansas
NULL,1,Bethany College West Virginia
NULL,1,Bethel College McKenzie
NULL,1,Bethel College Mishawaka
NULL,1,Bethel College Newton
NULL,1,Beth-El College of Nursing and Health Sciences
NULL,1,Bethel College St. Paul
NULL,1,Bethune-Cookman College
NULL,1,Bharathiar University
NULL,1,Bharathidasan University
NULL,1,Bilkent University
NULL,1,Biola University
NULL,1,Birkbeck University London
NULL,1,Birla Institute of Technology & Science
NULL,1,Birmingham City University
NULL,1,Birmingham-Southern College
NULL,1,Blackburn College
NULL,1,Black Hawk College
NULL,1,Black Hills State University
NULL,1,Blaise Pascal University
NULL,1,Blessing-Rieman College of Nursing
NULL,1,Bloomfield College
NULL,1,Bloomsburg University of Pennsylvania
NULL,1,Bluefield College
NULL,1,Bluefield State College
NULL,1,Blue Mountain College
NULL,1,Bluffton College
NULL,1,Bob Jones University
NULL,1,Bocconi University
NULL,1,Bogazici University
NULL,1,Bogor Agricultural University
NULL,1,Bohai University
NULL,1,Boise Bible College
NULL,1,Boise State University
NULL,1,Bond University
NULL,1,Boricua College
NULL,1,Boston Architectural Center
NULL,1,Boston College
NULL,1,Boston University
NULL,1,Bournemouth University
NULL,1,Bowdoin College
NULL,1,Bowie State University
NULL,1,Bowling Green State University
NULL,1,Bowling Green State University Firelands
NULL,1,Bozok University
NULL,1,Bradley University
NULL,1,Brandeis University
NULL,1,Brandman University
NULL,1,Braunschweig University of Technology
NULL,1,Brenau University
NULL,1,Brescia University
NULL,1,Brevard College
NULL,1,Brewton-Parker College
NULL,1,Breyer State University (Virtual University)
NULL,1,Briar Cliff College
NULL,1,Bridgewater College
NULL,1,Bridgewater State College
NULL,1,Brigham Young University
NULL,1,Brigham Young University Hawaii
NULL,1,Brno University of Technology
NULL,1,Brock University
NULL,1,Brooklyn College (CUNY)
NULL,1,Brooklyn Law School
NULL,1,Brooks Institute of Photography
NULL,1,Brown University
NULL,1,Brunel University
NULL,1,Brunswick Community College
NULL,1,Bryan College
NULL,1,Bryant and Stratton College
NULL,1,Bryant University
NULL,1,Bryn Athyn College of the New Church
NULL,1,Bryn Mawr College
NULL,1,Bucharest Academy of Economic Studies
NULL,1,Bucknell University
NULL,1,Budapest University of Technology & Economics
NULL,1,Buena Vista University
NULL,1,Buffalo State College
NULL,1,Bulent Ecevit University
NULL,1,Burlington College
NULL,1,Butler University
NULL,1,Cabrini College
NULL,1,Cairo University
NULL,1,Caldwell College
NULL,1,California Baptist College
NULL,1,California Coast University
NULL,1,California College for Health Sciences
NULL,1,California College of Arts and Crafts
NULL,1,California College of Podiatric Medicine
NULL,1,California College San Diego
NULL,1,California Institute of Integral Studies
NULL,1,California Institute of Technology
NULL,1,California Institute of the Arts
NULL,1,California Lutheran University
NULL,1,California Maritime Academy
NULL,1,California Polytechnic State University - San Luis Obispo
NULL,1,California Polytechnic State University San Luis Obispo
NULL,1,California School of Professional Psychology - Berkley/Alameda
NULL,1,California School of Professional Psychology - Fresno
NULL,1,California School of Professional Psychology - Los Angels
NULL,1,California School of Professional Psychology - San Diego
NULL,1,California State Polytechnic University Pomona
NULL,1,California State Polytechnic University - Pomona
NULL,1,California State University Bakersfield
NULL,1,California State University Channel Islands
NULL,1,California State University Chico
NULL,1,California State University Dominguez Hills
NULL,1,California State University Fresno
NULL,1,California State University Fullerton
NULL,1,California State University Hayward
NULL,1,California State University Long Beach
NULL,1,California State University Los Angeles
NULL,1,California State University Monterey Bay
NULL,1,California State University Northridge
NULL,1,California State University Sacramento
NULL,1,California State University San Bernardino
NULL,1,California State University San Marcos
NULL,1,California State University Stanislaus
NULL,1,California University of Management and Sciences
NULL,1,California University of Pennsylvania
NULL,1,California Western School of Law
NULL,1,Calumet College of St. Joseph
NULL,1,Calvary Bible College
NULL,1,Calvin College
NULL,1,Cambridge College
NULL,1,Cameron University
NULL,1,Campbellsville College
NULL,1,Campbell University
NULL,1,Canakkale Onsekiz Mart University
NULL,1,Canisius College
NULL,1,Cankaya University
NULL,1,Can Tho University
NULL,1,Capella University
NULL,1,Cape Peninsula University of Technology
NULL,1,Capital Medical University
NULL,1,Capital Normal University
NULL,1,Capital University
NULL,1,Capital University Law School
NULL,1,Capitol College
NULL,1,Cardiff University
NULL,1,Cardinal Stritch University
NULL,1,Carleton College
NULL,1,Carleton University
NULL,1,Carlos Albizu University
NULL,1,Carlow College
NULL,1,Carnegie Mellon University
NULL,1,Carol Davila University of Medicine & Pharmacy
NULL,1,Carroll College Helena
NULL,1,Carroll College Waukesha
NULL,1,Carson-Newman College
NULL,1,Carthage College
NULL,1,Case Western Reserve University
NULL,1,Castleton State College
NULL,1,Catawba College
NULL,1,Catholic Theological Union
NULL,1,Catholic University of America
NULL,1,Catholic University of Korea
NULL,1,Catholic University of the Sacred Heart
NULL,1,Cedar Crest College
NULL,1,Cedarville College
NULL,1,Celal Bayar University
NULL,1,Centenary College
NULL,1,Centenary College of Louisiana
NULL,1,Center for Humanistic Studies
NULL,1,Central Baptist College
NULL,1,Central Bible College
NULL,1,Central China Normal University
NULL,1,Central Christian College of the Bible
NULL,1,Central College
NULL,1,Central Connecticut State University
NULL,1,Central European University
NULL,1,Central Methodist College
NULL,1,Central Michigan University
NULL,1,Central Queensland University
NULL,1,Central South University
NULL,1,Central State University
NULL,1,Central University Finance & Economics
NULL,1,Central Washington University
NULL,1,Centre College
NULL,1,Chadron State College
NULL,1,Chalmers University of Technology
NULL,1,Chaminade University of Honolulu
NULL,1,Champlain College
NULL,1,Changan University
NULL,1,Changchun University of Technology
NULL,1,Changchun University Science & Technology
NULL,1,Chang Gung University
NULL,1,Chang Jung Christian University
NULL,1,Changwon National University
NULL,1,Chapman University
NULL,1,Charite Medical University of Berlin
NULL,1,Charles Darwin University
NULL,1,Charles R. Drew University of Medicine and Science
NULL,1,Charles Sturt University
NULL,1,Charleston Southern University
NULL,1,Charles University Prague
NULL,1,Charter Oak State College
NULL,1,Chatham College
NULL,1,Chengdu University of Technology
NULL,1,Chestnut Hill College
NULL,1,Cheyney University of Pennsylvania
NULL,1,Chiang Mai University
NULL,1,Chiba Institute of Technology
NULL,1,Chiba University
NULL,1,Chicago State University
NULL,1,China Agricultural University
NULL,1,China Jiliang University
NULL,1,China Medical University
NULL,1,China Medical University Taiwan
NULL,1,China Pharmaceutical University
NULL,1,China Three Gorges University
NULL,1,China University of Geosciences
NULL,1,China University of Mining & Technology
NULL,1,China University of Petroleum
NULL,1,Chinese Academy of Engineering Physics
NULL,1,Chinese Culture University
NULL,1,Chinese University of Hong Kong
NULL,1,Chonbuk National University
NULL,1,Chongqing Medical University
NULL,1,Chongqing University
NULL,1,Chongqing University Posts & Telecommunications
NULL,1,Chonnam National University
NULL,1,Chosun University
NULL,1,Chowan College
NULL,1,Christendom College
NULL,1,Christian Brothers University
NULL,1,Christian Heritage College
NULL,1,Christian Medical College & Hospital (CMCH) Vellore
NULL,1,Christopher Newport University
NULL,1,Chubu University
NULL,1,Chulalongkorn University
NULL,1,Chung Ang University
NULL,1,Chungbuk National University
NULL,1,Chung Hua University
NULL,1,Chungnam National University
NULL,1,Chung Shan Medical University
NULL,1,Chung Yuan Christian University
NULL,1,Chuo University
NULL,1,Circleville Bible College
NULL,1,City College of New York (CUNY)
NULL,1,City University
NULL,1,City University London
NULL,1,City University of Hong Kong
NULL,1,City University of New York Bernard M. Baruch College
NULL,1,City University of New York Brooklyn College
NULL,1,City University of New York City College
NULL,1,City University of New York College of Staten Island
NULL,1,City University of New York (CUNY) System
NULL,1,City University of New York Graduate School and University Center
NULL,1,City University of New York Hunter College
NULL,1,City University of New York John Jay College of Criminal Justice
NULL,1,City University of New York Lehman College
NULL,1,City University of New York Medgar Evers College
NULL,1,City University of New York Medical School / Sophie Davis School of Biomedical Education
NULL,1,City University of New York New York City Technical College
NULL,1,City University of New York Queens College
NULL,1,City University of New York School of Law at Queens College
NULL,1,City University of New York York College
NULL,1,Civil Aviation University of China
NULL,1,Claflin College
NULL,1,Claremont Graduate School
NULL,1,Claremont Graduate University
NULL,1,Claremont Lincoln University
NULL,1,Claremont McKenna College
NULL,1,Clarion University
NULL,1,Clark Atlanta University
NULL,1,Clarke College
NULL,1,Clarkson College
NULL,1,Clarkson University
NULL,1,Clark University
NULL,1,Clayton College & State University
NULL,1,Clearwater Christian College
NULL,1,Cleary College
NULL,1,Clemson University
NULL,1,Cleveland Chiropractic College Kansas City
NULL,1,Cleveland Chiropractic College Los Angeles
NULL,1,Cleveland Institute of Art
NULL,1,Cleveland Institute of Music
NULL,1,Cleveland State University
NULL,1,Coastal Carolina University
NULL,1,Cochin University Science & Technology
NULL,1,Coe College
NULL,1,Cogswell Polytechnical College
NULL,1,Coker College
NULL,1,Colby College
NULL,1,Colby-Sawyer College
NULL,1,Coleman College
NULL,1,Colgate University
NULL,1,CollegeAmerica Denver
NULL,1,CollegeAmerica Phoenix
NULL,1,College for Creative Studies
NULL,1,College for Financial Planning
NULL,1,College for Lifelong Learning
NULL,1,College Misericordia
NULL,1,College of Aeronautics
NULL,1,College of Charleston
NULL,1,College of DuPage
NULL,1,College of Idaho
NULL,1,College of Mount St. Joseph
NULL,1,College of Mount St. Vincent
NULL,1,College of New Jersey
NULL,1,College of New Rochelle
NULL,1,College of Notre Dame
NULL,1,College of Notre Dame of Maryland
NULL,1,College of Osteopathic Medicine of the Pacific (Western University of Health Sciences)
NULL,1,College of Staten Island (CUNY)
NULL,1,College of St. Benedict and St. John's University
NULL,1,College of St. Catherine
NULL,1,College of St. Elizabeth
NULL,1,College of St. Joseph
NULL,1,College of St. Mary
NULL,1,College of St. Rose
NULL,1,College of St. Scholastica
NULL,1,College of the Atlantic
NULL,1,College of the Holy Cross
NULL,1,College of the Ozarks
NULL,1,College of Visual Arts
NULL,1,College of William and Mary
NULL,1,College William & Mary
NULL,1,Colorado Christian University
NULL,1,Colorado College
NULL,1,Colorado School of Mines
NULL,1,Colorado State University
NULL,1,Colorado State University-Pueblo
NULL,1,Colorado Technical University
NULL,1,Columbia College Chicago
NULL,1,Columbia College Hollywood
NULL,1,Columbia College of Missouri
NULL,1,Columbia College South Carolina
NULL,1,Columbia Commonwealth University
NULL,1,Columbia International University
NULL,1,Columbia Southern University
NULL,1,Columbia Union College
NULL,1,Columbia University
NULL,1,Columbia University Teachers College
NULL,1,Columbus College of Art and Design
NULL,1,Columbus State University
NULL,1,Columbus University
NULL,1,Comenius University Bratislava
NULL,1,Community College of Denver
NULL,1,Complutense University of Madrid
NULL,1,COMSATS Institute of Information Technology (CIIT)
NULL,1,Concord College
NULL,1,Concordia College Ann Arbor
NULL,1,Concordia College Bronxville
NULL,1,Concordia College Moorhead
NULL,1,Concordia College Selma
NULL,1,Concordia College Seward
NULL,1,Concordia College St. Paul
NULL,1,Concordia University Austin
NULL,1,Concordia University - Canada
NULL,1,Concordia University Irvine
NULL,1,Concordia University Mequon
NULL,1,Concordia University Portland
NULL,1,Concordia University River Forest
NULL,1,Connecticut College
NULL,1,Constantine Philosopher University Nitra
NULL,1,Converse College
NULL,1,Conway School of Landscape Design
NULL,1,Copenhagen Business School
NULL,1,Coppin State College
NULL,1,Cornell College
NULL,1,Cornell University
NULL,1,Cornish College of the Arts
NULL,1,Corvinus University Budapest
NULL,1,Cosmopolitan University
NULL,1,Covenant College
NULL,1,Coventry University
NULL,1,Cracow University of Technology
NULL,1,Cranbrook Academy of Art
NULL,1,Cranfield University
NULL,1,Creighton University
NULL,1,Crichton College
NULL,1,Crown College
NULL,1,Cukurova University
NULL,1,Culver-Stockton College
NULL,1,Cumberland College
NULL,1,Cumberland University
NULL,1,Cumhuriyet University
NULL,1,Curry College
NULL,1,Curtin University of Technology
NULL,1,Czech Technical University Prague
NULL,1,Czech University of Life Sciences Prague
NULL,1,Daegu University
NULL,1,Daemen College
NULL,1,Dakota State University
NULL,1,Dakota Wesleyan University
NULL,1,Dalarna University
NULL,1,Dalhousie University
NULL,1,Dalian Jiaotong University
NULL,1,Dalian Maritime University
NULL,1,Dalian Medical University
NULL,1,Dalian University
NULL,1,Dalian University of Technology
NULL,1,Dallas Baptist University
NULL,1,Dallas Christian College
NULL,1,Dana College
NULL,1,Daniel Webster College
NULL,1,Dankook University
NULL,1,Danville Area Community College
NULL,1,Darmstadt University of Technology
NULL,1,Dartmouth College
NULL,1,Darton College
NULL,1,Davenport College of Business Grand Rapids
NULL,1,Davenport College of Business Kalamazoo
NULL,1,Davenport College of Business Lansing
NULL,1,Davidson College
NULL,1,Davis and Elkins College
NULL,1,Da Yeh University
NULL,1,Deaconess College of Nursing
NULL,1,Deakin University
NULL,1,De La Salle University
NULL,1,Delaware State University
NULL,1,Delaware Valley College
NULL,1,Delft University of Technology
NULL,1,Delta International University
NULL,1,Delta State University
NULL,1,Democritus University of Thrace
NULL,1,De Montfort University
NULL,1,Denison University
NULL,1,Denver Paralegal Institute
NULL,1,Denver Technical College
NULL,1,DePaul University
NULL,1,DePauw University
NULL,1,DeSales University
NULL,1,Design Institute of San Diego
NULL,1,Detroit College of Business
NULL,1,Detroit College of Business - Flint
NULL,1,Detroit College of Business - Warren
NULL,1,Detroit College of Law
NULL,1,Devi Ahilya University
NULL,1,DeVry Institute of Technology Chicago
NULL,1,DeVry Institute of Technology Columbus
NULL,1,DeVry Institute of Technology Decatur
NULL,1,DeVry Institute of Technology DuPage
NULL,1,DeVry Institute of Technology Irving
NULL,1,DeVry Institute of Technology Kansas City
NULL,1,DeVry Institute of Technology Phoenix
NULL,1,DeVry Institute of Technology Pomona
NULL,1,Dickinson College
NULL,1,Dickinson State University
NULL,1,Dicle University
NULL,1,Dillard University
NULL,1,Divine Word College
NULL,1,Dixie College
NULL,1,Doane College
NULL,1,Dogu Akdeniz University
NULL,1,Dogus University
NULL,1,Dokkyo University
NULL,1,Dokuz Eylul University
NULL,1,Dominican College
NULL,1,Dominican College of San Rafael
NULL,1,Dominican School of Philosophy and Theology
NULL,1,Dominican University
NULL,1,Dominion College
NULL,1,Dong A University
NULL,1,Dong Eui University
NULL,1,Dongguk University
NULL,1,Donghua University
NULL,1,Dordt College
NULL,1,Dortmund University of Technology
NULL,1,Doshisha University
NULL,1,Dowling College
NULL,1,Dow University of Health Sciences
NULL,1,Drake University
NULL,1,Dr. Babasaheb Ambedkar Marathwada University (BAMU)
NULL,1,Drew University
NULL,1,Drexel University
NULL,1,Drury College
NULL,1,Dublin City University
NULL,1,Dublin Institute of Technology
NULL,1,Duke University
NULL,1,Duluth Business University
NULL,1,Dumlupinar University
NULL,1,Dunarea De Jos University Galati
NULL,1,Duquesne University
NULL,1,Durban University of Technology
NULL,1,Durham University
NULL,1,Duzce University
NULL,1,D'Youville College
NULL,1,Earlham College
NULL,1,EarthNet Institute
NULL,1,East Carolina University
NULL,1,East Central University
NULL,1,East China Institute of Technology
NULL,1,East China Normal University
NULL,1,East China University of Science & Technology
NULL,1,Eastern College
NULL,1,Eastern Connecticut State University
NULL,1,Eastern Conservatory of Music
NULL,1,Eastern Illinois University
NULL,1,Eastern Kentucky University
NULL,1,Eastern Mennonite University
NULL,1,Eastern Michigan University
NULL,1,Eastern Nazarene College
NULL,1,Eastern New Mexico University
NULL,1,Eastern Oregon University
NULL,1,Eastern Virginia Medical School
NULL,1,Eastern Washington University
NULL,1,East Stroudsburg State University
NULL,1,East Tennessee State University
NULL,1,East Texas Baptist University
NULL,1,East-West University
NULL,1,Eberhard Karls University of Tubingen
NULL,1,Eckerd College
NULL,1,Ecole de Technologie Superieure - Canada
NULL,1,Ecole Nationale des Ponts et Chaussees
NULL,1,Ecole Normale Superieure (ENS) Lyon
NULL,1,Ecole Normale Superieure (ENS) Paris
NULL,1,Ecole Polytechnique
NULL,1,Edgewood College
NULL,1,Edinboro University of Pennsylvania
NULL,1,Edison Community College
NULL,1,Edith Cowan University
NULL,1,Edward Waters College
NULL,1,Ege University
NULL,1,Ehime University
NULL,1,Eindhoven University of Technology
NULL,1,Elizabeth City State University
NULL,1,Elizabethtown College
NULL,1,Elmhurst College
NULL,1,Elmira College
NULL,1,Elms College
NULL,1,Elon College
NULL,1,Embry-Riddle Aeronautical University
NULL,1,Embry Riddle Aeronautical University Prescott
NULL,1,Emerson College
NULL,1,Emmanuel College
NULL,1,Emmanuel College Georgia
NULL,1,Emmaus Bible College
NULL,1,Emory & Henry College
NULL,1,Emory University
NULL,1,Emporia State University
NULL,1,Eotvos Lorand University
NULL,1,Erasmus University Rotterdam
NULL,1,Erciyes University
NULL,1,Ernst Moritz Arndt Universitat Greifswald
NULL,1,Erskine College
NULL,1,Erzincan University
NULL,1,Eskisehir Osmangazi University
NULL,1,Eugene Bible College
NULL,1,Eureka College
NULL,1,European University Institute
NULL,1,Evangel University
NULL,1,Evergreen State College
NULL,1,Ewha Womans University
NULL,1,Excel College
NULL,1,Excelsior College
NULL,1,Fairfield University
NULL,1,Fairleigh Dickinson University Florham-Madison Campus
NULL,1,Fairleigh Dickinson University Teaneck-Hackensack Campus
NULL,1,Fairmont State College
NULL,1,Far Eastern Federal University
NULL,1,Fashion Institute of New York
NULL,1,Fatih University
NULL,1,Faulkner University
NULL,1,Fayetteville State University
NULL,1,Federation University Australia
NULL,1,Felician College
NULL,1,Feng Chia University
NULL,1,Ferdowsi University Mashhad
NULL,1,Ferris State University
NULL,1,Ferrum College
NULL,1,Fielding Institute
NULL,1,Finch University of Health Sciences - The Chicago Medical School
NULL,1,Finlandia University
NULL,1,Firat University
NULL,1,Fisher College
NULL,1,Fisk University
NULL,1,Fitchburg State College
NULL,1,Flagler College
NULL,1,Flinders University South Australia
NULL,1,Florida Agricultural and Mechanical University
NULL,1,Florida A&M University
NULL,1,Florida Atlantic University
NULL,1,Florida Christian College
NULL,1,Florida Community College at Jacksonville
NULL,1,Florida Gulf Coast University
NULL,1,Florida Institute of Technology
NULL,1,Florida International University
NULL,1,Florida Memorial College
NULL,1,Florida Metropolitan University Fort Lauderdale College
NULL,1,Florida Metropolitan University Tampa College
NULL,1,Florida Metropolitan University Tampa College Brandon
NULL,1,Florida Metropolitan University Tampa College Lakeland
NULL,1,Florida Southern College
NULL,1,Florida State University
NULL,1,Florida University of Medicine
NULL,1,Fontbonne College
NULL,1,Foothill-De Anza Community College District
NULL,1,Fordham University
NULL,1,Forest Institute of Professional Psychology
NULL,1,Fort Hays State University
NULL,1,Fort Lewis College
NULL,1,Fort Valley State College
NULL,1,Fourth Military Medical University
NULL,1,Framingham State College
NULL,1,Franciscan School of Theology
NULL,1,Franciscan University of Steubenville
NULL,1,Francis Marion University
NULL,1,Franklin and Marshall College
NULL,1,Franklin College
NULL,1,Franklin Pierce College
NULL,1,Franklin Pierce Law Center
NULL,1,Franklin University
NULL,1,Franklin W. Olin College of Engineering
NULL,1,Frank Lloyd Wright School of Architecture
NULL,1,Fred Hutchinson Cancer Research Center
NULL,1,Freed-Hardeman University
NULL,1,Free University of Berlin
NULL,1,Free University (Virginia Theological University)
NULL,1,Free Will Baptist Bible College
NULL,1,Fresno City College
NULL,1,Fresno Pacific University
NULL,1,Friedrich Schiller University of Jena
NULL,1,Friends University
NULL,1,Frostburg State University
NULL,1,Fudan University
NULL,1,Fu Jen Catholic University
NULL,1,Fujian Medical University
NULL,1,Fujian Normal University
NULL,1,Fujita Health University
NULL,1,Fukuoka University
NULL,1,Fukushima Medical University
NULL,1,Full Sail University
NULL,1,Furman University
NULL,1,Fuzhou University
NULL,1,Gadjah Mada University
NULL,1,Gakushuin University
NULL,1,Gallaudet University
NULL,1,Gannon University
NULL,1,Gardner Webb University
NULL,1,Gaziantep University
NULL,1,Gaziosmanpasa University
NULL,1,Gazi University
